priority,business,status,city,address,model,technology,phone,email,website,partner_fit,next_action,last_verified
reference,Alamo Golf Den,operating,San Antonio,"7001 Interstate 10 Ste 225, San Antonio, TX",24/7 simulator venue,Unconfirmed,,,https://alamogolfden.com/,Existing Pin2Win partner,Document reference implementation,2026-09-16
high,Fore! Swing Lounge,operating,San Antonio,"18720 Stone Oak Pkwy Ste 123, San Antonio, TX 78258",Staffed social lounge,TrackMan,210-842-9617,,https://foreswinglounge.com/,High,Request owner meeting and result-export walkthrough,2026-09-16
medium,Fairway Golf Simulation,operating,San Antonio,"4553 N Loop 1604 W Ste 1117, San Antonio, TX 78249",Public plus 24/7 member access,TrackMan,210-233-9026,support@fairwaygolfsimulation.com,https://www.fairwaygolfsimulation.com/,Medium,Confirm supervised pilot hours and evidence export,2026-09-16
high,MAVN Golf,operating,San Antonio,"16120 College Oak Ste 109, San Antonio, TX 78249",Performance coaching and hourly bays,TrackMan iO,650-395-2784,info@mavn.golf,https://www.mavn.golf/,High,Pitch measurable practice challenge and venue marketing,2026-09-16
medium,Remo Golf Canyon Springs,operating,San Antonio,"24405 Wilderness Oak, San Antonio, TX 78258",Private hourly suite,TrackMan iO,,support@remo.golf,https://canyonsprings.remo.golf/,Medium,Confirm club permission capacity and signage,2026-09-16
medium,Travis Golf Club,operating,San Antonio,"405 N St Mary's St Ste 222, San Antonio, TX 78205",Private membership and corporate club,Full Swing Pro 2.0,,,https://www.travisgolfclub.com/,Medium,Request member-event and building-policy discussion,2026-09-16
verify,King of Golf,operating listing,San Antonio,"314 Nolan St, San Antonio, TX 78202",Virtual golf inside King of Padel,Unconfirmed,,,https://www.teeoff.com/tee-times/facility/20047-king-of-golf/search,Unknown,Verify operator status contact and simulator platform,2026-09-16
medium,San Pedro Driving Range and Par 3,operating,San Antonio,"6102 San Pedro Ave, San Antonio, TX 78216",Municipal range with indoor simulator,Unconfirmed,210-349-5113,,https://golfsanpedro.com/simulator/,Medium,Identify municipal decision maker and simulator evidence path,2026-09-16
medium,On Par Golf,operating by appointment,San Antonio,"1250 Mission Grande, San Antonio, TX 78221",Instruction entertainment and events,TrackMan,210-827-8494,info@onpargolf.net,https://onpargolf.net/,Medium,Confirm which site hosts simulator play,2026-09-16
low,Neighborhood National No. 7,operating membership,San Antonio,"3942 Bent Grass, San Antonio, TX 78261",Residential members-only club,Bushnell Launch Pro / FSX / GSPro,,,https://www.neighborhoodnationalgc.com/clubs/no-7,Low,Assess residential permission capacity and result capture,2026-09-16
high,Inside Nine Golf and Social Club,operating,Boerne,"27650 IH-10 W Ste 207, Boerne, TX 78015",24/7 membership club,Golfzon TwoVision NX,210-239-7735,info@inside9tx.com,https://www.inside9tx.com/,High,Request member-event conversation,2026-09-16
high,The Swing Lab,operating,Boerne,"635 Hwy 46 E Ste 204, Boerne, TX 78006",Hourly and membership venue,TrackMan / ProTee VX,210-889-1822,indoorgolf@theswinglabtx.com,https://theswinglabtx.com/,High,Request owner walkthrough,2026-09-16
medium,The Back Nine Golf Boerne,operating,Boerne,"228 W Bandera Rd, Boerne, TX 78006",Public booking and 24/7 membership,Full Swing,830-637-4653,,https://thebackninegolf.com/local/boerne-tx/,Medium,Clarify franchise approval and supervised hours,2026-09-16
high,Future Golf,operating,Schertz,"790 FM 3009 Ste E, Schertz, TX 78154",Public practice instruction and play,FlightScope X3 / TruGolf APOGEE / E6,210-876-0440,future.golf.schertz@gmail.com,https://futuregolfoftexas.com/simulator-booking,High,Request technical and owner walkthrough,2026-09-16
high,Short Game Golf,operating,Castroville,"2205 FM 471, Castroville, TX 78009",Simulator range instruction food and events,TrackMan,830-931-8891,info@shortgameusa.com,https://www.shortgameusa.com/,High,Request owner or GM meeting,2026-09-16
high,The Bunker Indoor Golf Club,operating,La Vernia,"2742 FM 775, La Vernia, TX 78121",Public bays with planned 24/7 membership,TrackMan,726-243-5014,info@thebunkerigc.com,https://thebunkerigc.com/,High,Confirm staffed hours and opening maturity,2026-09-16
medium,Divots Indoor Golf,operating,Canyon Lake,"17290 FM 306, Canyon Lake, TX 78133",Staffless bookings memberships and tournaments,TrackMan,830-660-4377,texasdivots@gmail.com,https://texasdivots.com/,Medium,Discuss supervised-event option and onsite controls,2026-09-16
high,Par-Tee Haus Indoor Golf and Bar,operating,New Braunfels,"311 FM 306 Ste 105, New Braunfels, TX",Staffed golf bar and events,Unconfirmed,830-312-7804,,https://parteehaus.com/,High,Request operator meeting and platform details,2026-09-16
